filename,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,mel_1,mel_2,mel_3,mel_4,mel_5,mel_6,mel_7,mel_8,mel_9,mel_10,mel_11,mel_12,mel_13,mel_14,mel_15,mel_16,mel_17,mel_18,mel_19,mel_20,mel_21,mel_22,mel_23,mel_24,mel_25,mel_26,mel_27,mel_28,mel_29,mel_30,mel_31,mel_32,mel_33,mel_34,mel_35,mel_36,mel_37,mel_38,mel_39,mel_40,mel_41,mel_42,mel_43,mel_44,mel_45,mel_46,mel_47,mel_48,mel_49,mel_50,mel_51,mel_52,mel_53,mel_54,mel_55,mel_56,mel_57,mel_58,mel_59,mel_60,mel_61,mel_62,mel_63,mel_64,spectral_centroid_mean,zero_crossing_rate,spectral_rolloff,label
blues.00000.au,2.223865,4.104098,-1.0923723,1.3310866,-0.73061645,0.61771053,-1.0788319,0.5700519,-0.82774234,0.4029892,-0.64206254,0.2614494,-0.52825576,0.08453404,-0.5339468,-0.13227354,-0.4232438,0.020118328,-0.43727234,-0.01503937,-0.34639677,-0.09079098,-0.1918022,0.04531278,-0.21656618,0.054470688,-0.09134498,-0.25138873,-0.16483523,-0.19685498,-0.030925715,-0.26330888,-0.20509516,-0.34894556,-0.11348623,-0.03348667,-0.15165178,-0.24855793,-0.17997798,-0.1486139,15.306588,19.587519,17.839287,19.704645,20.357656,20.070004,17.743467,15.576797,13.844093,16.278269,17.40805,15.508083,14.072849,14.416612,12.18446,13.106252,11.303019,9.671202,9.749572,9.033071,7.959487,11.7542,10.915331,5.3051386,9.304726,9.265169,7.8536024,6.3329573,8.314862,9.25578,9.553538,7.2849855,6.498374,9.467528,6.091801,6.871379,6.416447,5.3745546,4.8464155,6.207085,5.4974155,2.3515382,1.1260467,1.1041881,1.8521479,1.3624095,1.2054832,-0.26095128,-1.1305125,-2.2116656,-0.85925746,-1.3616257,-2.0422688,-2.421544,-1.6859405,-0.6681905,-3.0949702,-7.0705,-7.9490585,-7.7156625,-13.430072,-21.523111,-34.100857,-50.326336,1727.6455,0.08330159,989.3304,0
blues.00001.au,-1.2944343,3.9544353,0.15317276,1.1519263,-0.42182267,0.78755516,-0.8285124,0.79117244,-0.69040406,0.26182926,-0.510736,0.09836759,-0.43772268,0.14239743,-0.3631794,-0.052079067,-0.20256984,0.035071988,-0.24349232,0.0105890855,-0.20099159,-0.119778,0.026796361,0.00039856342,-0.08858053,-0.056669813,-0.085009694,-0.24943297,-0.12267861,-0.06581177,-0.022535961,-0.1775438,-0.09900755,-0.25826758,-0.17327648,-0.14581694,-0.13179447,-0.19114354,-0.096538015,-0.08388206,14.290135,18.476494,16.482635,15.418145,16.684072,16.843931,14.662696,12.010081,8.494976,10.54297,8.008185,6.0762854,7.1916294,5.791993,2.5223777,4.3008375,6.0919566,3.3886957,1.2067574,1.7217957,0.251459,1.8703371,2.7803311,-3.8592587,-1.4203528,-1.9340171,-2.9802063,-4.1497245,-1.7224629,-3.1529062,-2.7162268,-3.1087532,-5.2220516,-3.5213273,-4.1677346,-4.310129,-5.0978723,-6.4735813,-5.97947,-4.2642984,-5.436775,-8.792771,-10.9977865,-10.863385,-10.665377,-10.544708,-9.954744,-9.768774,-9.820746,-10.361643,-9.005929,-8.444012,-7.4599156,-7.975679,-7.8462634,-8.13356,-9.601264,-10.874608,-12.730157,-15.06955,-20.627874,-31.794323,-45.75481,-57.838596,1450.5331,0.056347694,700.36456,0
blues.00002.au,2.6285925,4.1765776,-1.2298764,0.81987184,-0.86451507,0.7836489,-0.75437874,0.2784376,-0.7821274,0.27508977,-0.720291,0.05507876,-0.5084183,0.036920812,-0.5511194,0.052209258,-0.31950668,-0.0989067,-0.3372585,-0.04373846,-0.28462428,-0.15278241,-0.18192446,-0.15489629,-0.17511737,-0.10998804,-0.12017377,-0.12041502,-0.15693688,-0.23678176,-0.2485293,-0.14527671,-0.0657021,-0.04603265,-0.044864833,-0.1254991,-0.17619652,-0.1761281,-0.083255835,-0.09116501,8.43735,18.92284,22.471313,23.443272,22.783817,22.71605,22.159286,20.31327,20.340824,18.012516,17.772028,19.03747,15.592338,14.299835,18.074982,16.822126,15.794188,15.288285,13.992948,17.892502,15.796155,12.066543,15.955329,16.199158,13.476757,14.602472,12.623197,13.676409,12.014653,10.48813,12.434128,8.468633,10.9033,9.30669,6.244159,6.7424135,4.048445,4.468639,3.2771227,5.2274537,5.36705,5.642499,3.8386526,3.07336,2.0446353,1.9945998,1.3849785,0.76077193,0.34395474,-0.37675676,-0.9760009,-1.4743954,-1.6424189,-2.6560197,-3.2413383,-4.5109344,-5.507823,-5.7638917,-7.170848,-10.3717165,-15.598457,-23.929104,-36.318584,-51.786655,1493.6798,0.07647166,1383.9625,0
blues.00003.au,-1.1163656,4.8876595,0.08530932,0.97470903,-0.40936375,0.6553533,-0.4580594,0.49825737,-0.3258643,0.39837292,-0.44049942,0.14206076,-0.30757096,0.042066537,-0.31365788,0.075933136,-0.21233013,-0.10335821,-0.19450715,-0.16384935,-0.30435494,-0.2149213,-0.16754329,-0.2473006,-0.17836133,-0.21103187,-0.12275215,-0.21329187,-0.16306761,-0.2602601,-0.22798103,-0.25101906,-0.10392347,-0.10199199,-0.119602665,-0.14787377,-0.16145743,-0.19572714,-0.13715237,-0.18468234,10.968456,26.41708,25.819828,20.52852,18.007868,15.804303,14.648479,14.215079,14.358678,11.406002,12.0689,11.162152,8.65776,7.98484,10.643383,10.124623,7.6129055,7.0094423,5.425525,5.6944957,3.8670428,1.1050457,3.2132738,2.0674062,0.5018139,0.12406715,-1.407366,-0.17834651,-0.8045405,-2.76746,-1.5215439,-2.9690883,-4.2551513,-3.6272879,-4.5558195,-5.7702384,-6.571031,-8.728799,-9.534139,-8.326968,-8.144927,-8.46314,-8.904755,-8.908333,-10.788553,-11.471072,-11.364313,-11.434944,-12.435602,-12.416,-12.633375,-13.511034,-13.224124,-13.691432,-13.815921,-14.496216,-15.163084,-15.620498,-16.160795,-18.483963,-24.431097,-33.122818,-45.604267,-58.2398,996.7533,0.03350567,297.49908,0
blues.00004.au,0.22431658,4.0568786,-1.7071699,0.62549144,-1.7424755,0.42150977,-1.0247989,0.17686562,-0.6404928,0.28044307,-0.5877867,-0.022786215,-0.32028478,0.071259245,-0.30864277,0.15945654,-0.06557588,0.1531577,0.10288261,0.07817079,-0.02949958,0.12888251,0.3035993,0.03111368,-0.07563915,-0.10128865,0.06599295,-0.11434373,0.018313454,-0.08505746,-0.08122388,-0.063488,-0.019485222,-0.06922974,0.047298282,0.15427026,0.18816884,-0.07677311,-0.05127169,-0.10075742,-11.122429,0.54703707,3.866762,3.0482366,6.8690386,12.7012,15.555501,14.691096,12.636121,9.828506,12.901403,14.255735,12.838338,13.216449,13.521626,15.154185,10.307773,13.7012615,13.868686,8.681144,6.2282906,10.895363,9.409242,6.2693768,10.016211,4.307365,3.5074222,5.402971,6.68525,7.247811,3.4240043,2.975636,0.9275865,2.4273884,0.8136771,0.78429794,0.3744259,-3.533517,-3.0041933,0.2241546,0.4308526,0.5847156,-0.87498146,-0.6161854,-1.2085742,-2.3839252,-2.574194,-3.099541,-4.8145146,-2.6468391,-4.3947124,-5.5735965,-6.055971,-6.7650323,-8.353653,-10.939335,-12.170003,-13.108222,-15.13939,-18.81129,-24.568035,-33.52864,-45.503387,-58.868435,1749.5555,0.10185185,1828.4944,0
blues.00005.au,-0.20020245,3.7403493,-1.0545819,0.9049177,-1.333309,0.38984862,-1.0599122,0.1300057,-0.6058626,0.07023835,-0.6690235,-0.07136325,-0.26077777,-0.16540702,-0.11099029,0.05616612,-0.0121360915,-0.011874383,0.09148518,0.03824229,0.036990955,0.17831196,0.20242709,0.028194826,-0.038316064,-0.14214021,-0.051622353,-0.18800884,-0.10502182,-0.12947752,-0.08467622,0.08027308,0.10062582,0.035045397,0.048182856,0.009515401,0.022403164,0.025907349,0.019210745,0.08636146,-5.1554513,1.7737294,5.3437376,7.3587017,10.220632,14.0689125,18.889507,19.931313,11.929542,10.430692,11.552388,13.732081,12.532718,11.450655,6.53211,11.0172,12.183489,8.807742,7.7761216,9.063795,3.6004794,4.7210975,5.224901,3.358304,5.688122,2.0514662,1.0185595,2.1471326,3.5818841,2.328457,1.7191414,1.4685986,0.6425164,2.0663009,0.07612452,0.9841517,-1.5375521,-3.1102319,-4.7525735,-3.6766584,-2.9928126,-1.346936,-2.667641,-1.6743684,-2.0759077,-2.6105947,-3.7937372,-4.6767945,-4.2241917,-4.2035375,-6.3357725,-7.3504415,-6.346979,-6.6849847,-7.1296506,-8.804366,-10.949497,-13.754627,-16.533651,-21.251913,-27.30666,-35.286556,-45.733826,-57.38615,1738.5145,0.09439153,3224.657,0
blues.00006.au,-0.7879922,4.074734,-1.3812258,0.6595941,-0.07133897,-0.035139177,-0.9365656,-0.1314726,-0.29327255,-0.12559004,-0.40575832,-0.24581864,-0.2620483,-0.3075857,-0.22821629,-0.072383694,-0.10345118,-0.07614531,0.071187735,0.08195093,0.045016408,0.026338238,0.09274943,0.11179888,0.1487399,0.07081243,0.035606302,-0.021083249,-0.005721614,0.0076056123,-0.020866139,-0.012013898,0.09198585,0.042587046,0.016973699,-0.04770349,-0.04444682,0.0035082747,0.022857009,0.011793601,-7.5477934,0.6559512,5.7633867,9.926418,16.492891,21.249973,19.811909,14.745835,13.067003,11.679255,10.2156725,12.625922,12.3989,8.112318,9.853615,10.979617,6.433908,6.525086,3.1913424,2.7291298,5.9797583,1.6547832,3.1254072,3.4902983,2.8924224,3.2060063,6.624806,7.0515213,5.865007,5.6534123,6.4584575,7.4774523,6.406448,6.821019,5.026014,3.5308082,1.1421183,-2.637679,-2.796645,-5.4221196,-4.2904973,-6.7659974,-7.1777472,-8.01418,-9.764689,-11.442091,-12.785859,-13.192545,-13.649574,-14.473253,-15.486546,-15.741097,-15.600542,-17.442543,-18.174444,-19.39571,-21.02285,-22.906778,-25.7511,-29.104103,-34.96604,-43.53582,-54.223423,-60.632946,1370.6666,0.07336055,1770.1947,0
blues.00007.au,-0.30594867,4.3801627,-1.1292515,1.1425757,-0.360573,0.42827135,-1.2218984,0.14728971,-0.5886045,-0.17200601,-0.46272844,-0.2834468,-0.3291844,-0.22773443,-0.40913156,-0.23526214,-0.1283944,-0.16755967,-0.033745255,0.045177788,0.06215266,-0.07024507,-0.022625543,0.18628934,0.067389496,-0.100639984,-0.06925603,-0.07137481,-0.012935882,-0.042584244,-0.051405597,-0.08682538,-0.06737944,-0.054143995,0.077816784,0.10623129,0.08553787,0.019098444,0.015593496,-0.0587016,-4.439672,4.2939305,13.216759,16.833843,19.641073,23.338486,23.112448,17.858307,14.4695425,10.679201,13.886122,14.00603,10.281671,11.275397,8.906593,8.832077,4.558921,6.434294,5.501453,3.1740723,2.70406,7.1230536,5.462154,1.0501419,4.20117,2.0593877,5.692482,6.1413603,5.0034914,4.202516,5.231899,5.650527,7.204955,7.030475,3.0662868,0.807297,-0.27237794,-0.018642962,-0.26450408,-1.9395509,-2.573827,-5.6164584,-7.057033,-6.9170094,-8.407819,-9.208683,-10.101742,-9.622705,-8.508689,-8.03308,-7.853103,-9.289465,-9.952277,-10.899557,-11.352956,-13.059661,-14.979606,-18.076384,-22.143694,-25.474857,-30.586536,-39.321995,-51.440994,-59.838665,1377.6117,0.0616901,1742.3948,0
blues.00008.au,1.9247298,4.069297,-0.77079195,1.6132144,-0.6478363,0.87462616,-1.137148,0.9548808,-0.7268498,0.64062965,-0.6714739,0.14546372,-0.8390784,0.06252858,-0.30119744,0.12659718,-0.44653726,-0.14422058,-0.20480013,-0.00076487014,-0.4393577,-0.23355135,0.02301683,0.06517221,-0.10057423,-0.16647609,-0.24084316,-0.11196209,-0.47156814,-0.5521723,-0.3405982,-0.1013223,0.035425704,-0.27659395,-0.3503464,-0.32688308,-0.23705454,-0.29938045,-0.2075467,-0.188652,13.491084,26.579603,24.514896,19.201876,20.080173,21.781591,20.628246,14.861664,13.867045,12.747951,13.959687,15.255041,13.274195,8.092908,11.508436,15.118081,16.282396,10.507434,6.4342575,9.047453,9.719494,3.697783,4.214466,6.6307125,5.5783863,6.192148,5.402024,9.011629,14.420371,6.1301146,3.045708,2.7386372,7.40296,7.83029,8.079368,6.4399514,7.3185406,3.9875908,4.265797,3.577633,3.3301394,2.623736,1.6281929,0.4987519,-0.53347087,-1.5649896,0.7206718,0.038646575,-0.64773583,-1.7489475,-2.618661,0.010640797,0.18106271,-1.5369557,-1.0274949,-1.5098912,-1.1385424,-2.544141,-5.817349,-10.776945,-15.529294,-25.460886,-38.041313,-54.79212,1648.5037,0.06421013,753.99774,0
blues.00009.au,-1.4670225,3.7792664,-0.8010793,1.3023069,-1.3392892,0.34508258,-0.8084076,0.54421425,-0.7729251,0.28374705,-0.39825138,0.16597581,-0.13132286,-0.007367466,-0.26665494,0.1463956,0.03701992,0.043956894,0.08563687,0.14994116,-0.112644576,0.06393188,0.050634596,-0.17101102,-0.00720701,-0.111071974,-0.07556299,-0.10598783,0.039272744,-0.042196363,0.08234904,-0.012963744,-0.032045547,-0.18517473,-0.13234624,-0.14266987,-0.02381199,-0.011858752,0.049941685,-0.010799969,3.7945065,6.671757,6.5255485,4.448455,7.3760552,9.62877,10.234574,11.945101,10.216256,9.451918,7.501074,6.340597,8.559142,11.098041,6.5267797,3.6239054,7.3219643,4.873594,1.2531593,2.4504619,2.559391,1.8736721,1.9520974,-0.066507034,-0.025477206,-1.3029697,-3.7948194,-4.25688,-3.7141895,-5.1652236,-4.1753435,-3.6494431,-4.577461,-2.1487863,-3.3621511,-2.776532,-2.8935854,-4.5553684,-4.9622445,-3.9141412,-1.8081594,-0.77130306,-2.0976446,-4.334998,-7.169728,-6.9851537,-7.055783,-6.8115754,-7.2316594,-8.355605,-9.064173,-8.832379,-8.3336,-8.369771,-8.6188545,-10.630831,-12.81037,-14.973974,-17.470526,-20.866938,-26.25064,-34.493645,-46.24926,-59.371902,1736.2297,0.07960695,1126.0966,0
